"Year","Month","Region","Country","Visitors"
"1996","Jan","Asia","Brunei",4600
"1996","Feb","Asia","Brunei",5207
"1996","Mar","Asia","Brunei",4290
"1996","Apr","Asia","Brunei",4063
"1996","May","Asia","Brunei",5266
"1996","Jun","Asia","Brunei",4543
"1996","Jul","Asia","Brunei",5358
"1996","Aug","Asia","Brunei",6245
"1996","Sep","Asia","Brunei",4597
"1996","Oct","Asia","Brunei",4079
"1996","Nov","Asia","Brunei",5083
"1996","Dec","Asia","Brunei",9864
"1997","Jan","Asia","Brunei",4741
"1997","Feb","Asia","Brunei",4350
"1997","Mar","Asia","Brunei",3739
"1997","Apr","Asia","Brunei",3969
"1997","May","Asia","Brunei",5509
"1997","Jun","Asia","Brunei",4842
"1997","Jul","Asia","Brunei",5896
"1997","Aug","Asia","Brunei",6119
"1997","Sep","Asia","Brunei",4315
"1997","Oct","Asia","Brunei",3845
"1997","Nov","Asia","Brunei",5331
"1997","Dec","Asia","Brunei",8498
"1998","Jan","Asia","Brunei",4243
"1998","Feb","Asia","Brunei",3949
"1998","Mar","Asia","Brunei",5660
"1998","Apr","Asia","Brunei",4981
"1998","May","Asia","Brunei",4971
"1998","Jun","Asia","Brunei",4713
"1998","Jul","Asia","Brunei",5133
"1998","Aug","Asia","Brunei",3717
"1998","Sep","Asia","Brunei",4055
"1998","Oct","Asia","Brunei",3929
"1998","Nov","Asia","Brunei",5165
"1998","Dec","Asia","Brunei",8954
"1999","Jan","Asia","Brunei",4629
"1999","Feb","Asia","Brunei",3560
"1999","Mar","Asia","Brunei",4189
"1999","Apr","Asia","Brunei",5092
"1999","May","Asia","Brunei",4831
"1999","Jun","Asia","Brunei",4922
"1999","Jul","Asia","Brunei",4423
"1999","Aug","Asia","Brunei",5150
"1999","Sep","Asia","Brunei",4366
"1999","Oct","Asia","Brunei",4049
"1999","Nov","Asia","Brunei",4945
"1999","Dec","Asia","Brunei",7144
"2000","Jan","Asia","Brunei",4138
"2000","Feb","Asia","Brunei",3538
"2000","Mar","Asia","Brunei",3628
"2000","Apr","Asia","Brunei",5527
"2000","May","Asia","Brunei",4586
"2000","Jun","Asia","Brunei",5533
"2000","Jul","Asia","Brunei",5448
"2000","Aug","Asia","Brunei",6658
"2000","Sep","Asia","Brunei",4545
"2000","Oct","Asia","Brunei",3958
"2000","Nov","Asia","Brunei",4477
"2000","Dec","Asia","Brunei",5877
"2001","Jan","Asia","Brunei",3830
"2001","Feb","Asia","Brunei",4373
"2001","Mar","Asia","Brunei",4668
"2001","Apr","Asia","Brunei",6392
"2001","May","Asia","Brunei",4867
"2001","Jun","Asia","Brunei",5522
"2001","Jul","Asia","Brunei",6083
"2001","Aug","Asia","Brunei",6596
"2001","Sep","Asia","Brunei",4665
"2001","Oct","Asia","Brunei",4436
"2001","Nov","Asia","Brunei",4418
"2001","Dec","Asia","Brunei",6414
"2002","Jan","Asia","Brunei",4031
"2002","Feb","Asia","Brunei",4090
"2002","Mar","Asia","Brunei",4517
"2002","Apr","Asia","Brunei",5508
"2002","May","Asia","Brunei",4283
"2002","Jun","Asia","Brunei",5132
"2002","Jul","Asia","Brunei",4915
"2002","Aug","Asia","Brunei",6290
"2002","Sep","Asia","Brunei",4529
"2002","Oct","Asia","Brunei",5100
"2002","Nov","Asia","Brunei",4599
"2002","Dec","Asia","Brunei",7053
"2003","Jan","Asia","Brunei",4190
"2003","Feb","Asia","Brunei",3789
"2003","Mar","Asia","Brunei",4147
"2003","Apr","Asia","Brunei",704
"2003","May","Asia","Brunei",469
"2003","Jun","Asia","Brunei",2386
"2003","Jul","Asia","Brunei",4043
"2003","Aug","Asia","Brunei",4079
"2003","Sep","Asia","Brunei",3748
"2003","Oct","Asia","Brunei",3411
"2003","Nov","Asia","Brunei",3462
"2003","Dec","Asia","Brunei",6724
"2004","Jan","Asia","Brunei",3192
"2004","Feb","Asia","Brunei",3351
"2004","Mar","Asia","Brunei",4033
